,Balcony,Club House,Garden View,Lux_Revo,MTR nearby,Mountain View,River View,Rooftop,Sea View,Shopping Mall nearby,Swimming,Terrace,bedroom_amount,building,car_parking,floor_level,link,location,net_area,price,price_per,Garden view
10911,1,1,,,,,,,,,1,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Serenity-Place-Block-2-Low-Floor-Flat-F-H200154547,Po Lam,497,5800000,11670.0,
10912,1,1,,,,,,,,,1,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-Savannah-Block-5A-Flat-G-H200156534,Tseung Kwan O Town Centre,459,9800000,21351.0,
10913,1,1,,,,,,,,1,1,,3.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Tiu-Keng-Leng-Metro-Town-Phase-1-Metro-Town-Tower-1-Low-Floor-Flat-F-H200163419,Tiu Keng Leng,674,11000000,16320.0,
10914,,,,,,,,,,1,,,4.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Olympic-The-Hermitage-Block-8-High-Floor-Flat-C-H200179845,Olympic,827,25500000,30834.0,
10915,1,1,,,,,,,,1,1,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Metro-City-Phase-2-Block-11-High-Floor-Flat-C-H200191270,Po Lam,363,7380000,20331.0,
10916,,,,,,,,,,,,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Malibu-Tower-1A-Flat-C-H200191540,Lohas Park,455,9280000,20396.0,
10917,1,1,,,,,,,,1,1,,,,,L,https://www.hkp.com.hk/en/property/Kowloon-Ho-Man-Tin-Kwun-Hei-Court-Low-Floor-Flat-10-H200198599,Ho Man Tin,213,0,0.0,
10918,1,1,,,,,,,,,1,,,,,,https://www.hkp.com.hk/en/property/Kowloon-Lohas-Park-Lohas-Park-Malibu-Tower-1A-Flat-C-H200203699,Lohas Park,455,9280000,20396.0,
10919,,,,,,,,,,,,,2.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Tseung-Kwan-O-Town-Centre-The-Wings-Phase-1-Tower-3-Luna-Diamond-Middle-Floor-Flat-C-H200203707,Tseung Kwan O Town Centre,540,11800000,21852.0,
10920,,,,,,1,,,,,,,,,,M,https://www.hkp.com.hk/en/property/Kowloon-Po-Lam-Verbena-Heights-Block-4-Middle-Floor-Flat-C-H200203737,Po Lam,555,7680000,13838.0,
10921,,,,,,,,,,,,,2.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Diamond-Hill-San-Po-Kong-Ngau-Chi-Wan-Tsz-Oi-Court-Stage-III-Block-H-High-Floor-Flat-4-H200203751,San Po Kong,506,0,0.0,
10922,1,1,,,,,,,,,1,,2.0,,,L,https://www.hkp.com.hk/en/property/Kowloon-Kwun-Tong-Lam-Tin-Yau-Tong-Mandarin-Building-Block-A-Low-Floor-Flat-H-H200203754,Lam Tin,466,6200000,13305.0,
10923,1,1,,,,,,,,,1,,3.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Kingspark-The-Regalia-Blk-3-Middle-Floor-Flat-D-H200203763,Kingspark,1028,22000000,21401.0,
10924,1,1,,,,1,,,,,1,,3.0,,,M,https://www.hkp.com.hk/en/property/Kowloon-Kingspark-The-Regalia-Blk-3-Middle-Floor-Flat-B-H200203765,Kingspark,791,17000000,21492.0,
10925,,,,,,,,,,,,,3.0,,,H,https://www.hkp.com.hk/en/property/Kowloon-Kingspark-Parc-Palais-Block-9-High-Floor-Flat-D-H200203771,Kingspark,1001,25000000,24975.0,
10926,,,,,,,,,,,,,,,,,https://www.hkp.com.hk/en/property/New-Territories-Sai-Kung-Clear-Water-Bay-Tsam-Chuk-Wan-H200203807,Clear Water Bay,0,19800000,inf,
